CSR_Name,CSR_Number,Site_Name,Region
Craster,23852,Craster Quarry Car Park,UK - North
Securicor Cash Services Swinton,34065,Securicor Cash Services Swinton,UK - West
VF86413,71495,Rawson Court..,UK - London
OPP JCT BARNES HIGH STREET The Terrace,90786,Column Ref 3024848,UK - London
Crofton Hare Park,68081,LARKDALE FARM,UK - North
Close Brothers London,68769,Close Brothers London,UK - London
BAE Glascoed USK,76856,BAE Glascoed USK,UK - West
Bolney,2004,Southeast Water Tower,UK - South
City Road (44810 tech res),24177,iQ Student Accommodation Shoreditch,UK - London
OASIS HOTEL,46536,Cornerstone 14884_Voda_32079,UK - South
VF78987,72459,Great West Road SW,UK - London
CHAPELTOWN S4GI,96298,CHAPELTOWN S4GI Site (S4GI093),UK - North
CCFRA,42051,CCFRA,UK - West
Totteridge Lane,43183,St Andrew's Parish Church (36877659),UK - London
Warley Brentwood,49302,Shell Garage.,UK - South
65859 (21296) London ExCel Centre DAS3,65859,London Excel Centre DAS 3,UK - London
Lambeth Walk_SE11 Micro,70815,SF in front of 5-6 Wincott Parade 1,UK - London
Ryder Cup Gleneagles Hotel,71851,Ryder Cup - Gleneagles Hotel,UK - North
INVERCHAOLAIN,23149,23149 - Melgarve,UK - North
Replacement for Oak street trading estate CSR 93055 79208vf,22511,Two Woods Trading Estate 1,UK - West
Compton Acres Shopping Centre,67413,Compton Acres Shopping Centre - WEST BRIDGFORD,UK - South
Greenwood Avenue,89184,SW on Greenwood Avenue,UK - West
Walkley Replacement,84404,Bamforth Street SW,UK - North
Avon & Wiltshire Mental Health Partnership Trust Green Lane Hospital,25961,Avon & Wiltshire Mental Health Partnership Trust,UK - South
London Underground BSH01 Tunnel CSR 3,19933,London Underground - BSH01 - Tunnel CSR 3,UK - London
North Walsham GTG T4,75779,North Walsham Sewage Treatment Works (NWALST),UK - South
Lower Shiplake,4696,Lower Rivermead Farm,UK - South
Replc-CSR-4410-Clapham Junction (Offload 9275_S2),85308,MOSS BROS PLC,UK - London
Near JW MONTROSE AVENUE BURNT OAK BROADWAY HA8,90490,Column Ref 06200-69,UK - London
Edlesborough SMIP,90989,Cow Lane GF,UK - South
Folkestone Harbour Replacement (10020 Replacement),67471,Harbour Arm Perm,UK - South
Carlisle_Park_ISS9_369,37108,Uxbridge Road/Burtons Road,UK - London
Bridge of Muchalls,69769,Bridge of Muchalls,UK - North
NTQ Rep CSR for 73568o2 12516vf,24231,Norwich Road Sewage Works,UK - South
Tadworth ashurst rd,42384,Epsom Lane North SW.,UK - London
Camas-Luinie - EAS0157,24665,Inverinate Estate 2,UK - North
BY 52-57-GREAT RUSSELL STREET,86238,Column Ref TEF_AC209d,UK - London
O/S 279 HIGH ROAD LEYTON,87907,Column Ref 8657,UK - London
Tioxide Europe Ltd,64120,Tioxide Europe Ltd,UK - North
ICCW,89665,ICCW - 5G Overlay,UK - West
T-MOBILE 2 CAMBERWELL WAY,68338,T-MOBILE 2 CAMBERWELL WAY,UK - North
SMUG OAK,5506,The Rudkin Patch,UK - London
Stoer Point,6439,Stoer Point HRC Tower,UK - North
Fazeley,37347,ZSK Fazeley,UK - South
NTQ-CSR-7484-30 Tachbrook St SW1V,86911,SNAPPY SNAPS TACHBROOK STREET,UK - London
Bishop Auckland,1931,Westend Farm,UK - North
Chalk Farm (MICRO NTQ REP 8594),80986,Training Academy,UK - London
Roundshaw Estate,43424,Croygas Sports Club,UK - London
TFL Blackwall Tunnel Northbound,79979,TFL Blackwall Tunnel,UK - London
Unwind 35847,93268,South West Paints,UK - West
TARMAC TOPMIX LTD YARD,67852,TARMAC TOPMIX LTD YARD,UK - North
Avonbridge,75552,Stevenson Bros,UK - North
Crumpsall Unwind,91712,Cheetham Hill ATE UW,UK - West
Creamfields Temp 3,92051,Creamfields Temp 3 2022,UK - South
Wharf Rd Saint Ives TR26 1LF,25584,FW ID CORN23072,UK - West
Bolton Woods,10850,Kingspark Car Park,UK - North
Virgin Pendolino Train  390037,39957,Carriage 69537,UK - South
Replc-CSR-75135-Baker Street 62748 repl,85361,Sweet Liberty,UK - London
Edgewood Road,89189,SW on Edgewood Road,UK - West
Bradford Manningham,43229,Grosvenor Garage,UK - North
Grove House 3 Grove Pl Swansea,25637,Freshwave ID SWA 010099,UK - West
KINLOCHLEVEN BEACON,78427,CCUK TRANSMITTING STATION BEACON,UK - North
NTQ-CSR-7882-96 Snowsfields,86552,Hamilton Square,UK - London
Hatton Easter,69905,Hatton Easter,UK - North
73307 (48834) Arsenal Stadium Das 2,73307,73307 (48834) Arsenal Stadium Das 2,UK - London
Luton GTG T3,75602,Hedley Rise Streetlamp,UK - South
IMPERIAL DRIVE,33891,The Turret/Peters Pet,UK - London
Tantobie,74595,Town Head Farm - Tantobie,UK - North
Ontix-108 Baker Street,92286,Column Ref ID 16403,UK - London
SALMESTON,35377,QEQM Hospital Chimney,UK - South
WATERFORD 10927VF 69334o2 Rep,97496,Tree Heritage GF Roadside,UK - South
Fallowfield Unwind superseded,92530,Wilbraham Road,UK - West
Petts Wood_CS,44124,PETTS WOOD STABLES,UK - London
Dundas Court Cowcaddens,64487,CS_23913_Voda_83095,UK - West
Dunamanagh,74736,Brook Hall,UK - North
Leeds Festival 6 2020,92038,Leeds Festival 6 2024,UK - North
OX 3,100223,Unit ID 22,UK - South
Rippingale Dunsby,74870,T-Mobile mast at Graby Farm (Arqiva),UK - South
St Pauls (9070 Temp Replacement),98158,St Pauls School-,UK - London
New NTQ Perm Replacement (Hoghill CSR 009281),25357,Calderwood GF,UK - North
Edinburgh Crewe B,67877,Edinburgh Crewe B,UK - North
33068_vf NORTHREPPS,74334,Hill Poultry Farm VF-33068,UK - South
Brunswick Park North,33724,Brunswick Park North,UK - London
North Harold Hill,44411,North Hill Drive,UK - London
Kettlewell,23190,Middlesmore Pasture,UK - North
110 Deptford High Street SE8,8478,Tomi's Kitchen,UK - London
Ardwick le Street,1937,Markham Grange Nursery,UK - North
Montrose,1469,Cornerstone_15563_Voda_80644,UK - North
Carshalton Beeches,33863,Beeches Avenue Flexi,UK - London
TNS0256A LOCH KATRINE,24938,LAND AT PORTNELLAN,UK - North
DUDDINGTON (6026VF),71343,DUDDINGTON VF,UK - South
Middle Rasen East,71131,Land Adjacent Gallamere Lane,UK - South
St. Osyth GTG T2,75377,St Osyth SW,UK - South
Newcastle Airport Shared Access DAS,87558,Newcastle Airport - Shared Access DAS,UK - North
Clacket Lane Services,6764,Clacket Lane Services Mercury,UK - London
CAMLOUGH,15067,TEMP SITE AT CCI SITE ID 140434,UK - North
Lesser Hampden Unwind,93336,Battlefield Court Flats,UK - West
Claonaig Scottish,77120,Scottish Hydro Electric Radio Station,UK - North
VICTORIA EMBANKMENT SOUTH,43325,1 Parliament Square,UK - London
Leckwith Rd,88775,Newton Road/Sloper Rd Junction SF,UK - West
Apple Stockley Park,44290,Apple Stockley Park,UK - London
Ashington Hirst,22799,North Seaton Road SW,UK - North
Wakefield Belle Isle,31198,Industrial Sheet Metal,UK - North
BURWOOD PARK,5215,CTI Mast,UK - London
Edinburgh Gate,18807,Princes court,UK - London
BALLYGOBIN,7608,Ballygobin 2,UK - North
Abbey Wood East,10697,Z Thamesmead ATE,UK - London
Cabinet Office The Capital Liverpool,85855,Cabinet Office The Capital Liverpool,UK - North
Bow Church Station,47060,City Stay Hotel,UK - London
73360 parallel,95594,Bells Hill SW,UK - London
Column Ref 15740 OPP JN ORCHARD ROAD STATION ROAD,90796,Column Ref 15740,UK - London
Great Clacton,49352,CS 18869 VF 82044 - St John's Streetworks,UK - South
3 Queens Road,24452,RDG10926443,UK - West
NEXT Desford Road Enderby,23346,NEXT Desford Road Enderby,UK - North
Romanhurst,44145,Hayes Lane SF2,UK - London
Unwind 79161,92987,Haden Hill_,UK - West
o/s 77-79 Kingsland High Street Hackney,95390,Arqiva Kiosk Id HCK-0112-7009,UK - London
Arkendale,71102,Housemans Field,UK - North
NTQ replacement for 10146 (Palmers Green),99842,NATIONWIDE 7,UK - London
Willian Nash,33748,Wyevale Garden Centre Letchworth,UK - South
Stevenage Shephall 3G (VF47237G),69350,Lamppost 303,UK - South
EAS0136 Woodlands at Cashlie Power Station,24354,Site by Woodland at Cashlie,UK - North
VF30166,71554,Kew Gardens,UK - London
OPP NO 350 HARROW ROAD PCO1 HARROW ROADÂ LONDON,91191,K100 2072864310,UK - London
Cleadon (2493 replacement),40051,Newcastle Rd,UK - North
Arqiva 302241,73439,Ashton Playing Fields GF,UK - London
Duns,34283,Aitken - Walker Cars,UK - North
225 Norbury Avenue Thornton Heath,100807,Freshwave asset ID LBC 014537,UK - London
SUNDIAL FARM,68351,SUNDIAL FARM,UK - North
DARTFORD DA26LZ,84721,Vf 4972 Adj to No. 1 Plot,UK - London
ASHFORD HOUSE,46627,ASHFORD HOUSE,UK - London
Nairn West,37486,Nairn County FC,UK - North
St Brides Street,84453,Column Ref L2N04,UK - London
Low Snaygill,6637,Summerseat Farm,UK - North
EAS1043 - BENDORAN WEST,24403,BENDORAN WEST,UK - North
DOWNINGBURY FARM,67063,DOWNINGBURY FARM,UK - South
Durants,44352,Glyn Road SW,UK - London
Alnwick Town,4348,alnwick bt exchange,UK - North
Knockanrock,6465,Knockanrock,UK - North
KumarS104,11420,Wilesthorpe Lodge Farm,UK - South
Hadleigh South,74634,Hadleigh United FC,UK - South
Wooler Horsdonside,73037,Wooler,UK - North
Easingwold North,36666,Barn at Longbridge Rd,UK - North
WOODLOES,15795,Wedgenock Park Farm,UK - South
Embankment TFL1,80703,Park Building,UK - London
St. Pancras Road North NW1_Micro,70836,Relic Antique Warehouse,UK - London
SercovHomer Rd Solihull,86556,Serco Homer Rd Solihull,UK - North
NHIB FW 4G EC1M 3HE Snapchat Bloom Clerkenwell  2-6,25577,NHIB FW 4G EC1M 3HE Snapchat Bloom Clerken,UK - London
Portslade Replacement,91637,Portland Road/Olive Road SW,UK - South
Arqiva 168713,73113,GARSTON TE,UK - London
Joppa Central,44518,Milton Road East SW,UK - North
KIRKCALDY BY-PASS,13565,Oriel Road SF,UK - North
BOWTREES FARM,67926,BOWTREES FARM,UK - North
Tam Freasley_46200VF,72305,Tam04 - Freasley,UK - South
New Temp Replacement (NTQ Inglewood CSR 38314),25559,Greenfield site at Alloa Eastern Link Road ,UK - North
Telford Priorslee Area,47658,Castle Farm Way SF,UK - West
Serco Lilleshall,67445,Serco Lilleshall,UK - West
OS104 HARROGATE EAST,18742,Streetworks on Hookstone Chase,UK - North
Surrey Quays,3437,Albert Starr House,UK - London
Stokenchurch West 1328vf,80361,Hill Farm - Stockenchurch,UK - South
Walsworth Hitchin (VF36885B),69347,Walsworth LPSO - SF,UK - South
Bradford Crossley Hall Perm,23469, Allerton SW,UK - North
Copt Oak,93,Copt Oak RS,UK - South
SOUTH PELAW,34866,SF on Pelton Lane (A),UK - North
Finaghy,11284,McMurray Street Works,UK - North
Thorpe Peterborough 11673 Replacement,42060,CS 3026 VF 54056 Thorpe Lodge Hotel,UK - South
Tuxford Lincs,8806,Lodge Lane Ind Est Vodafone,UK - South
Oxleas Meadow,10571,Eltham Grid Flexicell,UK - London
Tatling End,4330,Gerrards Cross Fire Station,UK - London
Belfast Ardoyne NI_D,87715,Alliance SW,UK - North
EXISITNG PHILIPS TELECOM MAST,70336,EXISITNG PHILIPS TELECOM MAST,UK - South
2017 McD P1 McDonalds Kilburn High rd,81495,McDonalds - Kilburn,UK - London
WHITEFARLAND POINT,73739,STRATHCLYDE POLICE RADIO STATION  (38025985),UK - North
HATCHEND,5491,APT Control,UK - London
Tullycarnet,11277,Cornerstone 4286_Vodafone 33791,UK - North
SRN 93000748,24113,Opinan,UK - North
Bradford Greengates,45792,SW on Harrogate Road (Outside Retail Park),UK - North
South Chertsey,10691,Orange Tower,UK - London
Ashtead Chace Stud Farm,43458,Cornerstone 10035_Vodafone 48354,UK - London
Llanddewi-Brefi,51034,Bronhelem 1,UK - West
Kit's Koty A229,86573,SW Lower Warren Road,UK - South
Harley St Micro (4574 Parallel HLD),84299,Harley Street Oral Reconstruction Centre,UK - London
High Barnes,16784,SF Opposite St. Gabrielle Church,UK - North
Harbourland PERM,64356,A249 Street Furniture GTC,UK - South
Unwind 32767,92625,BESCOTT LAND OFF DARLASTON ROAD,UK - West
Bradford Moor,10852,Yorkshire Finance & Insurance,UK - North
85098 (48387) 260 Bath Road Inbuilding,85098,85098 (48387) 260 Bath Road Inbuilding,UK - London
Edinburgh OXGANGS ROAD NORTH,44503,Oxgangs Road North SW,UK - North
Liverpool Wavertree East New (B3),25786,Church Road North,UK - West
Arqiva 167493,73375,UPMINSTER ATE.,UK - London
Bassetlaw Hospital Worksop,22684,Bassetlaw Hospital Worksop,UK - North
Hayes AOC 1,78784,Church Road SW.,UK - London
SANDOWN PARK,5216,Racecourse Grandstand CS.4719_VF.46755,UK - London
71542 parallel,95331,41 Tower Hill,UK - London
Addington LFB,5045,Addington Fire Station,UK - London
Abingdon Cemy,8278,Larkmead School,UK - South
PAINES WOOD SITE,67498,PAINES WOOD SITE,UK - South
Holywell Street,33709,Horse & Groom Pub,UK - London
Rothwell Town,40604,Rothwell ATE,UK - North
o2 Retail 001 Slough,24721,o2 Retail 001 Slough,UK - London
O/S 301 KILBURN LANE,90534,Column Ref ID L04253-42,UK - London
Stoney St Southwark London,97316,LBSK 004005,UK - London
National Grid  Watford,23366,National Grid  Watford,UK - South
Green Street North,72121,Streetworks Forest Gate Police Station,UK - London
BURTONWOOD,37430,Allied Engineering and fabrication Ltd,UK - West
36-38 Essex St,24591,Freshwave ID BCC 015918,UK - West
VF76076,72449,Albert Westcott House,UK - London
Canterbury St. Martins,68174,Canterbury - St. Martins,UK - South
Warrington Temp 1,24806,Warrington Temp Site 2023,UK - West
Chaddesden South New Parallel (34922),80878,Nottingham Road SW (NEW),UK - South
Glastonbury Steanbow Farm,88057,Glastonbury Steanbow Farm 2024,UK - West
Pontefract Priory,31061,King Charles II House,UK - North
Culford Road,46400,The Scolt Head,UK - London
Siemens Wharf Road Oxford,87371,Siemens Wharf Road Oxford,UK - South
LD 320 13168 Ebury Bridge Estate,91117,Woods House,UK - London
BRICKYARD FARM,80586,Brickyard Farm,UK - South
Belfast Dunluce,62856,Cornerstone 19596_Vodafone 82240,UK - North
Lampton West,44107,Great West Road street furniture,UK - London
Caxton,1038,Bourne Water Tower,UK - South
Rushpark South,34808,Cornerstone 3382_Voda 77987,UK - North
63474 (48849) Olympic Ricoh Arena DAS_4,63474,63474 (48849) Olympic Ricoh Arena DAS_4,UK - South
Addiscombe LFB,3422,Woodside Fire Station,UK - London
Clarendon PK Replacement,23083,St Leonards Court_2,UK - South
O/S 142 Well Hall Road London SE9 6SN,100549,Ontix ID GRE10413536,UK - London
South End Bedford,34545,Cornerstone 2888 _ Voda 77898,UK - South
Anstruther Wester,3548,Crawhill,UK - North
STAMFORD (37505VF),71327,STAMFORD (37505VF),UK - South
O/s 3 Craven road,24496,Ontix Asset ID RDG10928038,UK - West
Mablethorpe,4164,Anglian Water,UK - South
Maida Vale (NTQ 39117 Temp Replacement),76703,99 Chippenham Road,UK - London
Elland Road West Yorkshire Police,71280,West Yorkshire Police Elland Road,UK - North
Orpington Rail Station NWR,44129,Crofton Halls Car Park,UK - London
Enhancer Network Rail Faversham,44303,Network Rail Faversham,UK - South
Bushgrove Road,16514,Becontree Furniture Ltd,UK - London
GIPSYVILLE,5551,Masterpiece Sculptures Ltd,UK - North
Kirkholt Unwind,92788,Ruskin Road GF,UK - West
Deans West,17532,Deans Road North,UK - North
Horseley Hill,70517,Lothian & Borders Police Mast,UK - North
o2 Retail Norwich Chapelfields,91427,o2 Retail Norwich Chapelfields,UK - North
Leeds Mill Hill,8909,MX Aquis House.,UK - North
National Grid  Battle,23365,National Grid  Battle,UK - South
Fort William Replacement,24155,GF at SPAR,UK - North
30805_VF Severn Meadows Road,74407,Church Farm/Severn Meadows Road,UK - South
Coombe Park,5069,Shirley Hills2 Flexicell,UK - London
Honor Oak SE23 (2191 Repl),71688,Forest Hill Police Mast,UK - London
South Hornchurch 2 (39066 Temp replacement),95870,139 171 Church Elm Lane (MBNL TEMP 38397),UK - London
Orange Site Share Winchburgh,67908,Orange Site Share - Winchburgh,UK - North
HOLGATE,16046,Cedar Court Hotel - CS10712 _ VF55295,UK - North
North Evington,35203,E Quality Clothing,UK - South
Silverstone Event Temp 2,79691,Silverstone Event Temp 2 2024,UK - South
Covent Garden Market,79956,Covent Garden Market,UK - London
Homerton High St Homerton London,96792,HAC 000240,UK - London
VENETIAN RD-CUTCOMBE ROAD,86807,Arqiva Lambeth  C0429-07,UK - London
Cowley North (VF22275B),69820,Peterley House - VF,UK - South
Ontix-491 Oxford Street,92279,ONTIX ASSET ID WSM10814,UK - London
Virgin Pendolino Train  390004-1,39977,Carriage 69804,UK - South
Moneymore Maxwell,70444,RJ Maxwell Quarry,UK - North
LECHRA HILL TNS0078A,24896,LECHRA HILL,UK - North
Maovally,6429,Shin Maovally HRC Tower,UK - North
Clachan Hilltop,95662,Hilltop at Clachan,UK - North
S4GI005 Swindon Hill,24337,Sourhope S4GI005,UK - North
Leyfields,34933,Cornerstone 3847,UK - South
Scriven,37293,Park Nurseries,UK - North
Golders Green North (NTQ replacement for 10437),73291,21 Temple Fortune Mansions (Boots),UK - London
East f/wy opposite Bryony Road o/s 65-93 Charnock House by Access Road BLOEMFONTEIN ROAD,90699,Column Ref 1204506,UK - London
Charing Cross Station,2782,Charing Cross St Station,UK - London
WOODALE EAS0071,24645,COVERHEAD FARM,UK - North
O/S TUBE STATION WALM LANE,88003,Column Ref L02250-14,UK - London
Auchelie TNS,23685,Land at Carn nan Seileach No2,UK - North
Slough Borough Council Slough,91972,Slough Borough Council Slough,UK - London
OPP. COLLEGEE STANHOPE STREET,87325,Asset Ref  894037,UK - London
VF87690,72056,Hythe Avenue SW,UK - London
Ontix- Jn Harley Street- Devonshire Street,92260,Ontix Asset ID 6832,UK - London
Whitby,1241,Whitby Football Ground,UK - North
Virgin Pendolino Train  390022-1,39995,Carriage 69822,UK - South
Eastbourne Terrace REPL 9292,74058,Sussex Court.,UK - London
QE II Hospital Replacement_2,72322,Birch Court 2,UK - South
South Weald TEMP,24578,B.T. 1 London Rd Carpark,UK - South
Vodafone Beacon 5427,70877,SWAFFHAM,UK - South
Lyndhurst Court,24222,Lyndhurst Court 310,UK - South
VF87759,71926,Dewsbury Gardens SW,UK - London
Killymaddy,69934,Killymaddy,UK - North
Whites Bridge Farm,69034,Whites Bridge Farm,UK - South
Boulby,4163,BT Exchange,UK - North
Riding Mill GtG,77039,Whiteside.,UK - North
32117_VF Smockington Lane,74420,Smockington Lane_32117vf,UK - South
Rosyth South (NTQ Rep csr34524),48909,Admiralty Road SW,UK - North
Kinlochewe,6313,Kinlochewe,UK - North
o2 Retail The Gyle Edinburgh,86293,o2 Retail The Gyle Edinburgh,UK - North
Burgess Park North,45168,CS 12183 VF 78147 Capital Glazing,UK - London
Replacement for 71789 SW Claremont Lane,92043,Clare Hill Golf Course,UK - London
Leeds Festival 2,75106,Leeds Festival 2 2024,UK - North
Greenburn,42896,Coachhouse Aberdeen,UK - North
Great Western Road W11,9864,60 Great Western Road,UK - London
Great Bramingham,37632,Northwell Drive SF,UK - South
Malham Tarn,23189,Water Houses,UK - North
79365 (78247) Belfast City Hospital DAS 3,79365,79365 (78247) Belfast City Hospital DAS 3,UK - North
Avery Row W1,5568,11 Avery Row,UK - London
Plaistow Broadgate (039099),39099,Stansfeld Road SF,UK - London
CSR 72405 replacement Lowestoft,23808,CSR 72405 replacement Lowestoft 2022,UK - South
Brook Street Essex,2158,Brook Street,UK - London
Epsom Horton 3G,41053,Corner of Chantilly Way & Hook Road SW,UK - London
WESTBROOKE,20603,A28 Street Furniture,UK - South
Willsfield,10577,Quarter House,UK - North
Ballyharry West,12137,DOE Whitespots,UK - North
Bushey 3G,47281,High Street Streetworks Bushey,UK - London
Loch Maree Letterewe,72556,Loch Maree - Letterewe,UK - North
Millington Grange,72830,Waytham Farm Opposte Millington Grange,UK - North
Claps Gate LnNewham,100136,LBN 003500,UK - London
Bermuda Park Nuneaton,63245,St Davids Way Streetworks,UK - South
Milton Keynes Crown Walk,9610,Milton Keynes Crown Walk,UK - South
OLD JEWRY,43551,10 OLD JEWRY,UK - London
Vodafone 5798,70314,HORTON FIELDS,UK - South
Hanway St W1 (5561 repl),71318,Rose of York Language School,UK - London
New Parallel for 46525o2 54554vf,23607,Spark Street,UK - South
Liverpool Thornton (B3),88966,Lydiate Lane ,UK - West
RAF MUSEUM HENDON,36082,Aerodrome Rd SF,UK - London
Hull Cottingham New Village,42705,F J Whiting LTD,UK - North
Firth Moor Central (16847 replacement),47183,Cornerstone.15844_Voda.64428_1,UK - North
Scatraig,70043,Scatraig,UK - North
A1 NORTHBOUND- MARKHAM MOOR SERVICES-,76609,Little Chef A1,UK - South
JARROW SOUTH,49192,SW Leam Ln,UK - North
Killucan,4220,Sand Pits,UK - North
Hither Green (5245 Repl),74359,Shell Petrol Station-Perm,UK - London
Serco Cardinal Place 100 Victoria St,85147,Serco Cardinal Place 100 Victoria St,UK - London
1ST FROM EUSTON ROAD CHURCHWAY,91446,Arqiva Ref TEF_AC1253c,UK - London
64639 (47160) St James Park IBS 5 U900,64639,64639 (47160) St James Park IBS 5 U900,UK - North
Gargrave Airebank Mills,71108,Airebank Mills,UK - North
Irthlingborough Road VF,71007,Irthlingborough Road VF,UK - South
Fenchurch South,4842,Cornerstone 4785_Vodafone 73084_0,UK - London
VF86098,71531,Ellerton,UK - London
Sompting,2552,Lancing Leisure Centre,UK - South
North Towie Turner,69899,North Towie Turner,UK - North
Queen Alexandra Hospital,44860,Queen Alexandra Hospital,UK - West
Lambert Smith Hampton Edmund Street Birmingham,25100,Lambert Smith Hampton Edmund Street Birmingham,UK - North
Duke of Westminster Eaton Estate,88438,Duke of Westminster Eaton Estate,UK - North
1 Green Wrythe Lane Carshalton SM5 2DS,100588,Ontix ID STN10138389,UK - London
Next Enderby,46558,Next Enderby,UK - South
Hampstead Garden Suburb Micro,43185,Indian Ocean,UK - London
144 High Street HA4,8757,McDonalds,UK - London
Vodafone Beacon 5664,70883,GT GRANSDEN,UK - South
IKEA Wembley DAS,24237,IKEA Wembley,UK - London
KINFAUNS,17270,UPPER TARSAPPIE,UK - North
Iba Black Mountain,71656,site No 09307 Black Mountain SC,UK - North
Stepney Hull,70031,Stepney Hull,UK - North
UBS 5 Broadgate,79520,UBS 5 Broadgate,UK - London
Finningley Town,74572,Finningley - BT Exchange,UK - North
Ivory Route 1 (VF37139A),69328,Twyford Bury Lane,UK - South
Curbridge VF 5947,74309,Site at Manor Farm - VF5947,UK - South
Land off Stamford Road,67416,Land off Stamford Road - WEST BRIDGFORD,UK - South
45-49 Clayton Square Shopping Centre Great Charlotte St LiverpoolÂ ,25674,Freshwave ID LIVE000003,UK - West
(75128) O2 Store Stratford Westfield Centre,90380,(75128) O2 Store Stratford Westfield,UK - London
Stanford le Hope,851,Stanford-le-Hope T.E.,UK - South
Unwind 5853,92933,HOLLY MOUNT.,UK - West
North Headington (VF69914A),69919,Marsh Lane,UK - South
Brunswick Square,46409,BRUNSWICK SQUARE,UK - London
Bradford Paradise Green New,23636,Tesco Extra Carpark,UK - North
Stoke Green,16454,Wexham_Park_Hospital,UK - London
NHIB FW 4G N7 9BG Look Ahead Group 1,25664,Look Ahead Group,UK - London
ALDERSGATE EC1 3G,47814,Aldersgate Hse,UK - London
Thurncourt Road Replacement for 16053o2,25425,Thurncourt Road ,UK - South
Stoke Golding,74743,Stoke Golding ATE,UK - South
Melldalloch PNS,95581,Auchalick Wood,UK - North
Portland Tower,23476,Portland Tower Student Accomodation Rooftop,UK - North
Perm Replacement of NTQ CSR 45539,92365,Kingswood Apartments,UK - London
St Peters Church Cornhill,78845,St Peter's Church Cornhill,UK - London
Ballyduff,34483,Hillside Nursery Centre,UK - North
Hayes Parki,69968,The Bicycle Warehouse,UK - London
Arqiva SC LBC 5516,78482,OPP 50A FROGNAL,UK - London
Twickenham_TW1  Micro,70863,St Mary's University - The Exchange,UK - London
o2 Retail Middlebrook Bolton,25922,o2 Retail Middlebrook Bolton,UK - North
Boucher Road Windsor,10241,Donegall Road Street Works,UK - North
CASTLEFORD INGS (NTQ_O2_15492),65396,SW on Queens Park Drive,UK - North
Shepherd Market W1,7775,2 Shepherd Street,UK - London
HAWES,18771,Airwave Mast - NYK068,UK - North
Outwood Hills Farm_7893VF,72275,Outwood Hills Farm,UK - South
Basildon ATE,69026,Basildon ATE - Basildon,UK - South
Wide open sandison court,74609,Sandison Court Brunswick Industrial Estate,UK - North
Bradford Lidget Green,43260,Legrams Comercial centre,UK - North
KPMG DAS,76237,KPMG DAS,UK - London
Replc-CSR-5821-DH Evans Oxford ST W1,85324,UNIQLO,UK - London
TNS0059A,24891,SGALABHAL HILLTOP 1,UK - North
69019 (69017) O2 Arena Car Park 1,69019,69019 (69017) O2 Arena Car Park 1 U9,UK - London
Replc-70736-Shoe Lane EC4_Micro,86163,Lexis House (Car Park/Ground Floor),UK - London
Marsh Lane- Unwind 16679,92926,Lakeside Industrial Park,UK - West
NORTHAMPTON CENTRAL,5281,Transco Mast SP-0059,UK - South
NTL Skipton,71118,NTL Skipton - Greenbank Farm,UK - North
32 High St Oxford OX1 4AN,23859,Freshwave ID OXFD 026613,UK - South
REDMET 28,91113,REDMET 28,UK - London
Hagley ATE,91769,Hagley ATE,UK - West
Upminster,96886,Roomes Department Store,UK - London
Liverpool Hope University (B3),93236,Liverpool Hope University.,UK - West
Benson (VF4308B),69831,Land Adj to Benson Airfield(VF4308B),UK - South
Station Road South Norwood,96365,Freshwave ID LBC 020676,UK - London
SK3-P3,100277,Ontix ID LIN10494306,UK - South
Bradley Rawthorpe,42994,Dalton Baptist Church,UK - North
O/S Holy Trinity Church  Sedding St  London,86837,BT Payphones  02077 302834,UK - London
Bletchley Railway Station,73853,British Rail Bletchley VF,UK - South
Wellingore,74748,OPCS - LIN0026/ Arqiva,UK - South
Mercedes Milton Keynes ( Data CSR for 78297 ),79656,Mercedes Milton Keynes ( Data CSR for 78297 ),UK - South
CNOC NAN AGH,23147,FLS land - Cnoc nan Agh,UK - North
Branston GTG T2,75367,Shared Access - SA011156 - Tennis Ground Branston,UK - South
BELGRAVE (11944 REPLACEMENT ONE) EAA,40070,Cornerstone 3578 _ Voda 77437,UK - South
Billingsgate Market SF,32787,Cornerstone 9566_Vodafone 78587,UK - London
Torran Cuilinn TNS,22601,Loch Coulin,UK - North
Chiswick High Road (38246 NTQ Perm Repl),89407,214  CHISWICK HIGH ROAD,UK - London
RAF Coltishall,74645,SW Lamas Road,UK - South
Dumfries and Galloway Hospital,79074,Dumfries and Galloway Hospital,UK - West
Southern Water Pumping Station,68231,Southern Water Pumping Station - Strood,UK - South
Woodsend Unwind,92502,Boundary Trading Estate,UK - West
Clifton Lane,72790,Greenland Plantation,UK - North
Darenth South,10132,Mills Nursery Orange Mast,UK - London
A114 Woodford Road (2 repl 2254),25089,Capel Point,UK - London
CRAIGLOCKHART TA CENTRE,67815,EDINBURGH CRAIGLOCKHART TA CENTRE,UK - North
Wakefield City,10804,Wakefield House,UK - North
Archway Tower,44807,Whittington House GTC,UK - London
Craigton Unwind,93353,Craigton Industrial H3G,UK - West
Westacre Estate Gallow Hill (Gayton),73923,Westacre Estate,UK - South
59 King Street London UB2 4DQ,100568,Ontix ID EAL10370184,UK - London
21-22 Great Castle Street,96604,Ontix Asset ID WSM10005862,UK - London
Aberchirder,69885,Aberchider,UK - North
Byfleet,1551,VODAFONE MTX,UK - London
Poplar,3780,Poplar ATE,UK - London
Doncaster Malcolm Barlows Yard,46298,Malcolm Barlows Yard,UK - North
