RFCodeID,rc_rf_cfg_code,rc_vendor
799,NR-L-U-D,Ericsson
745,B3-L-M-A,Ericsson
947,B3-L-U-A,Ericsson
802,B3-L-M-A-a,Ericsson
47,NI-L-U-A,Ericsson
998,NI-L-M-A,Ericsson
423,B3-L-M-B,Ericsson
1174,B3-L-U-B,Ericsson
46,NI-L-U-D,Ericsson
833,NI-L-M-D,Ericsson
499,B3-L-M-B-a,Ericsson
45,NI-L-M-B,Ericsson
744,NI-L-U-B,Ericsson
344,B3-L-M-D-b,Ericsson
1280,B3-L-U-D,Ericsson
1338,B3-L-M-D,Ericsson
26,B3-L-M-C,Ericsson
44,NR-L-U-C,Ericsson
861,B3-L-U-C,Ericsson
946,NR-L-M-C,Ericsson
428,NI-L-U-O,Ericsson
647,NI-L-M-O-b,Ericsson
836,NI-L-M-O,Ericsson
341,NR-L-M-C-a,Ericsson
562,B3-L-M-C-a,Ericsson
49,NI-L-U-C,Ericsson
1378,NI-L-M-C,Ericsson
926,B3-L-M-O,Ericsson
1020,B3(F)-L-M-O,Ericsson
1125,B3-L-M-O-b,Ericsson
1126,B3(F)-L-U-O,Ericsson
1201,B3(F)-L-M-O-b,Ericsson
1235,B3-L-U-O,Ericsson
55,NR2-L-U-C-i2,Nokia
110,NR3-L-U-C,Nokia
128,N3-L-M-C,Nokia
131,N3-L-U-C,Nokia
164,N3-L-U-C-i,Nokia
194,N3-L-M-C-i2,Nokia
210,N2-L-U-C-i2,Nokia
216,NR2-L-M-C,Nokia
219,N3-L-U-C-i2,Nokia
303,N2-L-U-C-i,Nokia
478,N2-L-M-C-i2,Nokia
654,N4-L-U-E,Nokia
910,NR3-L-U-C-i,Nokia
1149,N2-L-M-C,Nokia
1254,NR2-L-M-C-i2,Nokia
1287,NR3-L-M-C-i2,Nokia
1293,N2-L-U-C,Nokia
1337,NR3-L-M-C,Nokia
1363,NR3-L-U-C-i2,Nokia
1376,NR2-L-U-C,Nokia
1380,NR2-L-U-C-i,Nokia
318,N3-L-M-C-i2-b,Nokia
432,N2-L-M-C-a,Nokia
477,NR2-L-M-C-i2-b,Nokia
513,NR3-L-M-C-b,Nokia
552,N2-L-M-C-b,Nokia
576,N3-L-M-C-a,Nokia
737,NR3-L-M-C-i2-b,Nokia
873,N2-L-M-C-i2-b,Nokia
908,N3-L-M-C-b,Nokia
936,NR2-L-M-C-b,Nokia
1011,NR2-L-M-C-a,Nokia
1073,NR3-L-M-C-a,Nokia
71,N2-L-U-B-i2,Nokia
127,N4-L-U-B,Nokia
145,N3-L-U-B,Nokia
167,NR3-L-U-B-i2,Nokia
177,N3-L-U-B-i,Nokia
179,NR3-L-U-B-i,Nokia
225,NR2-L-M-B-i2,Nokia
466,NR3-L-M-B-i2,Nokia
546,NR3-L-U-B,Nokia
655,NR2-L-U-B,Nokia
734,N2-L-M-B,Nokia
755,N3-L-M-B,Nokia
813,NR3-L-M-B,Nokia
956,NR2-L-M-B,Nokia
1178,NR2-L-U-B-i,Nokia
1179,NR2-L-U-B-i2,Nokia
1204,N4-L-U-B-i2,Nokia
1272,N3-L-U-B-i2,Nokia
1275,N3-L-M-B-i2,Nokia
1288,N2-L-M-B-i2,Nokia
1290,N2-L-U-B,Nokia
1358,N2-L-U-B-i,Nokia
129,N2-L-M-B-b,Nokia
430,NR3-L-M-B-a,Nokia
516,NR2-L-M-B-i2-b,Nokia
651,N3-L-M-B-b,Nokia
682,N2-L-M-B-i2-b,Nokia
814,NR2-L-M-B-a,Nokia
816,NR2-L-M-B-b,Nokia
843,NR3-L-M-B-b,Nokia
876,N2-L-M-B-a,Nokia
984,N3-L-M-B-a,Nokia
1026,NR3-L-M-B-i2-b,Nokia
1051,N3-L-M-B-i2-b,Nokia
7,N2-L-M-A-i2,Nokia
119,N2-L-M-A,Nokia
122,NR3-L-U-A,Nokia
133,NR2-L-M-A,Nokia
178,NR3-L-U-A-i,Nokia
181,NR2-L-U-A-i,Nokia
184,NR2-L-U-A-i2,Nokia
185,N3-L-U-A-i2,Nokia
335,N3-L-M-A-i2,Nokia
441,NR2-L-U-A,Nokia
784,N4-L-U-A,Nokia
933,NR3-L-M-A,Nokia
1132,N2-L-U-A-i2,Nokia
1147,N3-L-M-A,Nokia
1192,NR2-L-M-A-i2,Nokia
1195,NR3-L-U-A-i2,Nokia
1226,N2-L-U-A,Nokia
1250,N3-L-U-A,Nokia
1251,N4-L-U-A-i2,Nokia
1300,N2-L-U-A-i,Nokia
1332,N3-L-U-A-i,Nokia
1336,NR3-L-M-A-i2,Nokia
349,N2-L-M-A-i2-b,Nokia
429,NR2-L-M-A-i2-b,Nokia
444,N3-L-M-A-a,Nokia
504,N3-L-M-A-i2-b,Nokia
610,NR3-L-M-A-a,Nokia
650,NR2-L-M-A-b,Nokia
692,N2-L-M-A-a,Nokia
786,NR2-L-M-A-a,Nokia
874,NR3-L-M-A-b,Nokia
913,NR3-L-M-A-i2-b,Nokia
1012,N2-L-M-A-b,Nokia
1227,N3-L-M-A-b,Nokia
27,NR3-L-U-A1-i,Nokia
388,NR3-L-U-A1,Nokia
446,NR2-L-U-A1-i,Nokia
535,N2-L-U-A1-i,Nokia
580,N4-L-U-A1,Nokia
616,NR2-L-U-A1-i2,Nokia
657,NR3-L-U-A1-i2,Nokia
713,NR2-L-U-A1,Nokia
761,N3-L-U-A1-i,Nokia
789,N3-L-U-A1,Nokia
821,N4-L-U-A1-i2,Nokia
822,N2-L-U-A1-i2,Nokia
846,N3-L-U-A1-i2,Nokia
1028,N2-L-U-A1,Nokia
88,N2-L-M-P,Nokia
359,N3(F)-L-M-Q,Nokia
362,N3-L-U-Q,Nokia
366,N3(F)-L-U-P,Nokia
367,N2-L-U-Q,Nokia
385,N2(F)-L-M-R-b,Nokia
415,N2-L-M-O-a,Nokia
459,N3(F)-L-M-P-a,Nokia
503,N2(F)-L-U-O,Nokia
563,N2-L-M-R-a,Nokia
566,N2-L-M-O,Nokia
596,N2(F)-L-U-R,Nokia
597,N3-L-U-P,Nokia
602,N2(F)-L-M-Q,Nokia
676,N3(F)-L-M-P,Nokia
679,N3-L-M-R-b,Nokia
717,N3(F)-L-U-Q,Nokia
718,N2-L-U-P,Nokia
720,N3-L-M-P,Nokia
749,N2(F)-L-M-O,Nokia
772,N2-L-M-P-a,Nokia
775,N2-L-U-R,Nokia
804,N3(F)-L-M-R,Nokia
863,N3-L-M-Q,Nokia
864,N3(F)-L-M-R-b,Nokia
897,N3(F)-L-M-R-a,Nokia
899,N2(F)-L-M-P,Nokia
948,N3-L-U-R,Nokia
949,N3(F)-L-M-O,Nokia
950,N3-L-U-O,Nokia
1001,N3-L-M-O,Nokia
1063,N3-L-M-O-a,Nokia
1064,N2-L-U-O,Nokia
1089,N3(F)-L-U-O,Nokia
1145,N3(F)-L-M-O-a,Nokia
1146,N2(F)-L-M-R-a,Nokia
1162,N2(F)-L-M-P-a,Nokia
1177,N3-L-M-R,Nokia
1200,N2-L-M-R,Nokia
1255,N2(F)-L-M-R,Nokia
1281,N2(F)-L-U-P,Nokia
1282,N2-L-M-Q,Nokia
1296,N2(F)-L-U-Q,Nokia
1313,N2-L-M-R-b,Nokia
1339,N2(F)-L-M-O-a,Nokia
1340,N3-L-M-R-a,Nokia
1348,N3-L-M-P-a,Nokia
1379,N3(F)-L-U-R,Nokia
176,NR2-L-U-D,Nokia
180,N3-L-M-D,Nokia
182,N3-L-U-D,Nokia
183,N2-L-U-D-i,Nokia
196,NR2-L-U-D-i2,Nokia
218,N3-L-U-D-i2,Nokia
220,NR3-L-M-D-i2,Nokia
398,NR3-L-U-D,Nokia
416,N2-L-M-D-i2,Nokia
613,N3-L-M-D-i2,Nokia
691,NR2-L-U-D-i,Nokia
1050,NR3-L-U-D-i,Nokia
1098,NR3-L-U-D-i2,Nokia
1116,N3-L-U-D-i,Nokia
1229,N2-L-U-D-i2,Nokia
1265,N2-L-U-D,Nokia
1267,NR2-L-M-D-i2,Nokia
1273,NR3-L-M-D,Nokia
1327,NR2-L-M-D,Nokia
1357,N2-L-M-D,Nokia
412,N3-L-M-D-c,Nokia
442,N2-L-M-D-i2-c,Nokia
545,N3-L-M-D-i2-c,Nokia
612,N2-L-M-D-c,Nokia
760,NR2-L-M-D-c,Nokia
787,NR3-L-M-D-c,Nokia
817,NR2-L-M-D-i2-c,Nokia
957,NR3-L-M-D-i2-c,Nokia
209,N4-Lr-U-E,Nokia
221,NR2-Lr-U-C,Nokia
1052,N3-Lr-U-C,Nokia
1130,N2-Lr-U-C,Nokia
1367,NR3-Lr-U-C,Nokia
99,N4-Lr-U-B,Nokia
211,N3-Lr-U-B,Nokia
214,NR2-Lr-U-B,Nokia
217,NR3-Lr-U-B,Nokia
224,N2-Lr-U-B,Nokia
205,N4-Lr-U-A,Nokia
213,N2-Lr-U-A,Nokia
553,N3-Lr-U-A,Nokia
579,NR3-Lr-U-A,Nokia
1364,NR2-Lr-U-A,Nokia
165,NR2-Lr-U-A1,Nokia
261,N4-Lr-U-A1,Nokia
467,N3-Lr-U-A1,Nokia
491,N2-Lr-U-A1,Nokia
879,NR3-Lr-U-A1,Nokia
198,N2-Lr-U-D,Nokia
202,NR2-Lr-U-D,Nokia
1224,N3-Lr-U-D,Nokia
1312,NR3-Lr-U-D,Nokia
28,NR-M-M-A,Ericsson
638,NR-M-U-A,Ericsson
342,NR-M-M-A-a,Ericsson
1,NR-M-U-B,Ericsson
31,NR-M-M-B,Ericsson
672,NR-M-M-B-a,Ericsson
17,NR-M-U-D,Ericsson
30,NR-M-M-D,Ericsson
35,B3-M-M-A,Ericsson
1143,B3-M-U-A,Ericsson
530,B3-M-M-A-a,Ericsson
21,NI-M-U-A,Ericsson
33,NI-M-M-A,Ericsson
19,B3-M-M-B,Ericsson
34,B3-M-U-B,Ericsson
13,NI-M-M-D,Ericsson
16,NI-M-U-D,Ericsson
771,B3-M-M-B-a,Ericsson
24,NI-M-U-B,Ericsson
498,NI-M-M-B,Ericsson
18,B3-M-M-D,Ericsson
32,B3-M-U-D,Ericsson
594,B3-M-M-D-b,Ericsson
4,NR-M-U-C,Ericsson
714,B3-M-M-C,Ericsson
925,B3-M-U-C,Ericsson
976,NR-M-M-C,Ericsson
677,NI-M-M-O,Ericsson
1111,NI-M-U-O,Ericsson
356,NR-M-M-C-a,Ericsson
361,B3-M-M-C-a,Ericsson
497,NI-M-U-C,Ericsson
895,NI-M-M-C,Ericsson
299,B3-M-M-O,Ericsson
365,B3-M-U-O,Ericsson
643,B3(F)-M-U-O,Ericsson
1093,B3(F)-M-M-O,Ericsson
123,N3-M-M-C,Nokia
146,N2-M-U-C,Nokia
150,N4-M-U-E,Nokia
156,NR3-M-U-C,Nokia
157,NR3-M-M-C,Nokia
1242,N2-M-M-C,Nokia
1266,N3-M-U-C,Nokia
1276,NR2-M-M-C,Nokia
1277,NR2-M-U-C,Nokia
87,N3-M-U-B,Nokia
130,NR2-M-M-B,Nokia
132,N2-M-M-B,Nokia
134,NR2-M-U-B,Nokia
152,N2-M-U-B,Nokia
155,N4-M-U-B,Nokia
1238,NR3-M-U-B,Nokia
1303,N3-M-M-B,Nokia
1331,NR3-M-M-B,Nokia
85,N2-M-M-A,Nokia
92,N3-M-U-A,Nokia
107,NR3-M-U-A,Nokia
112,NR3-M-M-A,Nokia
113,NR2-M-M-A,Nokia
116,N2-M-U-A,Nokia
1010,N4-M-U-A,Nokia
1101,NR2-M-U-A,Nokia
1269,N3-M-M-A,Nokia
295,N2-M-U-A1,Nokia
447,N3-M-U-A1,Nokia
615,NR2-M-U-A1,Nokia
617,N4-M-U-A1,Nokia
990,NR3-M-U-A1,Nokia
223,N2-M-U-Q,Nokia
263,N3(F)-M-M-P,Nokia
264,N2(F)-M-M-O,Nokia
333,N3-M-U-R,Nokia
350,N3-M-M-R,Nokia
424,N2(F)-M-U-O,Nokia
427,N3(F)-M-U-O,Nokia
456,N2-M-M-P,Nokia
462,N2-M-U-P,Nokia
531,N3(F)-M-U-Q,Nokia
533,N2(F)-M-U-P,Nokia
564,N2(F)-M-M-R,Nokia
599,N2(F)-M-M-Q,Nokia
600,N2-M-M-R,Nokia
601,N3-M-M-Q,Nokia
648,N3-M-U-Q,Nokia
723,N3(F)-M-U-R,Nokia
748,N2(F)-M-M-P,Nokia
773,N3-M-U-O,Nokia
776,N2-M-M-O,Nokia
806,N3(F)-M-M-O,Nokia
834,N2(F)-M-U-R,Nokia
900,N2-M-U-O,Nokia
999,N2-M-U-R,Nokia
