RFCodeID,rc_rf_cfg_code,rc_vendor
1259,ENI04B-M2-3-v1,Ericsson (Northern Ireland)
121,E04B-M3-4-v1,Ericsson
151,N04B-M2-4-v1,Nokia
661,E04B-M4-4-v1,Ericsson
728,N04B-M4-4-v1,Nokia
848,N04B-M3-4-v1,Nokia
981,E04B-M2-4-v1,Ericsson
228,ENI05A-M4-1-v1,Ericsson (Northern Ireland)
408,ENI05A-M3-1-v1,Ericsson (Northern Ireland)
865,E05A-M3-1-v1,Ericsson
885,E05A-M2-1-v1,Ericsson
1216,N05A-M3-1-v1,Nokia
1279,ENI05A-M2-1-v1,Ericsson (Northern Ireland)
1283,N05A-M2-1-v1,Nokia
1330,E05A-M4-1-v1,Ericsson
1384,N05A-M4-1-v1,Nokia
227,N05A-M2-2-v1,Nokia
319,N05A-M3-2-v1,Nokia
707,E05A-M4-2-v1,Ericsson
764,N05A-M4-2-v1,Nokia
929,E05A-M3-2-v1,Ericsson
964,E05A-M2-2-v1,Ericsson
40,N05B-M4-1-v1,Nokia
555,ENI05B-M4-1-v1,Ericsson (Northern Ireland)
671,E05B-M3-1-v1,Ericsson
907,E05B-M2-1-v1,Ericsson
972,E05B-M4-1-v1,Ericsson
1046,ENI05B-M3-1-v1,Ericsson (Northern Ireland)
1059,ENI05B-M2-1-v1,Ericsson (Northern Ireland)
1096,N05B-M3-1-v1,Nokia
1341,N05B-M2-1-v1,Nokia
39,N05B-M2-2-v1,Nokia
618,N05B-M4-2-v1,Nokia
751,E05B-M3-2-v1,Ericsson
932,E05B-M2-2-v1,Ericsson
993,E05B-M4-2-v1,Ericsson
1094,ENI05B-M3-2-v1,Ericsson (Northern Ireland)
1237,N05B-M3-2-v1,Nokia
1261,ENI05B-M4-2-v1,Ericsson (Northern Ireland)
1386,ENI05B-M2-2-v1,Ericsson (Northern Ireland)
118,N05B-M2-3-v1,Nokia
556,N05B-M4-3-v1,Nokia
725,E05B-M3-3-v1,Ericsson
1014,E05B-M2-3-v1,Ericsson
1068,N05B-M3-3-v1,Nokia
1343,E05B-M4-3-v1,Ericsson
174,N06A-M2-1-v1,Nokia
374,E06A-M2-1-v1,Ericsson
778,E06A-M3-1-v1,Ericsson
1018,E06A-M4-1-v1,Ericsson
1135,N06A-M3-1-v1,Nokia
1308,N06A-M4-1-v1,Nokia
371,E06A-M2-2-v1,Ericsson
482,E06A-M3-2-v1,Ericsson
529,E06A-M4-2-v1,Ericsson
753,N06A-M3-2-v1,Nokia
944,N06A-M2-2-v1,Nokia
1138,N06A-M4-2-v1,Nokia
80,E06A-M2-4-v1,Ericsson
540,N06A-M3-4-v1,Nokia
625,E06A-M4-4-v1,Ericsson
921,N06A-M2-4-v1,Nokia
952,E06A-M3-4-v1,Ericsson
1285,N06A-M4-4-v1,Nokia
397,N06B-M2-1-v1,Nokia
901,E06B-M3-1-v1,Ericsson
973,E06B-M4-1-v1,Ericsson
1151,N06B-M3-1-v1,Nokia
1183,N06B-M4-1-v1,Nokia
1373,E06B-M2-1-v1,Ericsson
97,E06B-M3-2-v1,Ericsson
201,N06B-M2-2-v1,Nokia
524,E06B-M4-2-v1,Ericsson
1154,E06B-M2-2-v1,Ericsson
1170,N06B-M4-2-v1,Nokia
1207,N06B-M3-2-v1,Nokia
451,E06B-M4-3-v1,Ericsson
667,N06B-M4-3-v1,Nokia
685,E06B-M2-3-v1,Ericsson
837,E06B-M3-3-v1,Ericsson
922,N06B-M2-3-v1,Nokia
1191,N06B-M3-3-v1,Nokia
593,N06B-M2-4-v1,Nokia
